Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,156.302994,164.039993,156.184998,163.535995,131.162643,27906448
05-01-2010,162.259995,167.147003,153.246002,160.686005,128.876831,23669318
06-01-2010,162.199997,162.932007,159.311005,160.934006,129.075729,14990820
07-01-2010,161.171005,161.923004,154.343994,155.432999,124.663689,22722030
08-01-2010,156.322998,159.251999,155.343994,156.283997,125.346245,16495776
11-01-2010,158.104004,158.104004,154.789993,156.352997,125.401566,11776348
12-01-2010,155.927994,157.707993,154.552002,155.591003,124.790421,10657130
13-01-2010,155.334,157.194,152.781006,155.324005,124.576279,17659374
14-01-2010,155.531998,156.778,154.255005,154.770004,124.131935,8626218
15-01-2010,154.938004,158.994995,153.354996,157.748001,126.520409,18955838
18-01-2010,157.046005,161.013,155.382996,160.449005,128.686752,18756613
19-01-2010,160.873993,162.022003,158.707993,159.628006,128.028259,11559643
20-01-2010,160.281006,160.755997,158.113998,159.281998,127.750771,10185364
21-01-2010,158.242996,159.024002,154.404007,154.889008,124.227386,9291983
22-01-2010,150.862,155.828995,149.199997,153.959,123.481506,12698514
25-01-2010,153.988007,154.938004,150.386993,152.098999,121.98967,8448704
27-01-2010,148.804001,150.862,140.731003,142.065994,113.942802,16092885
28-01-2010,143.460999,145.371002,138.960007,140.710999,112.856033,27120073
29-01-2010,139.503998,140.848999,132.875,137.395996,110.197281,20899408
01-02-2010,136.080002,143.134995,134.229996,142.442001,114.244377,24102055
02-02-2010,144.451004,146.429001,139.514008,140.384003,112.593765,21818957
03-02-2010,141.481995,143.856995,140.363998,142.779007,114.514664,11665709
04-02-2010,142.669998,143.460999,135.764008,136.455994,109.443352,14364089
05-02-2010,132.578003,134.259995,130.233002,133.013,106.681931,22246873
08-02-2010,133.576996,136.119995,125.404999,133.220993,106.848747,17350173
09-02-2010,131.638,136.139999,131.401001,133.834,107.340408,13384787
10-02-2010,135.546005,137.326996,131.983994,132.518997,106.285713,13442883
11-02-2010,133.567001,136.910995,133.279999,136.100006,109.157837,10099225
15-02-2010,137.307007,138.988998,134.656006,135.179993,108.419945,12144363
16-02-2010,135.962006,140.294998,135.546005,139.138,111.594429,10227648
17-02-2010,140.492996,142.867996,140.106995,140.789993,112.919395,12520480
18-02-2010,141.384003,142.451996,139.207001,140.462997,112.657135,11860551
19-02-2010,139.306,140.373993,136.020996,138.475006,111.062691,12664377
22-02-2010,140.492996,141.423004,138.820999,139.514008,111.896004,8688479
23-02-2010,138.315994,140.869003,137.524994,138.455002,111.046646,13054284
